"","Fraud","Amount","card_freq_1","card_freq_3","card_freq_7","card_freq_14","card_freq_30","merchant_freq_1","merchant_freq_3","merchant_freq_7","merchant_freq_14","merchant_freq_30","merchant_card_1","merchant_card_3","merchant_card_7","merchant_card_14","merchant_card_30","card_merchant_1","card_merchant_3","card_merchant_7","card_merchant_14","card_merchant_30","Avg_Amount_Card_1","Avg_Amount_Card_3","Avg_Amount_Card_7","Avg_Amount_Card_14","Avg_Amount_Card_30","Total_Amount_Card_1","Total_Amount_Card_3","Total_Amount_Card_7","Total_Amount_Card_14","Total_Amount_Card_30","Median_Amount_Card_1","Median_Amount_Card_3","Median_Amount_Card_7","Median_Amount_Card_14","Median_Amount_Card_30","Max_Amount_Card_1","Max_Amount_Card_3","Max_Amount_Card_7","Max_Amount_Card_14","Max_Amount_Card_30","Avg_Amount_Merch_1","Avg_Amount_Merch_3","Avg_Amount_Merch_7","Avg_Amount_Merch_14","Avg_Amount_Merch_30","Total_Amount_Merch_1","Total_Amount_Merch_3","Total_Amount_Merch_7","Total_Amount_Merch_14","Total_Amount_Merch_30","Median_Amount_Merch_1","Median_Amount_Merch_3","Median_Amount_Merch_7","Median_Amount_Merch_14","Median_Amount_Merch_30","Max_Amount_Merch_1","Max_Amount_Merch_3","Max_Amount_Merch_7","Max_Amount_Merch_14","Max_Amount_Merch_30","zip_card_1","zip_card_3","zip_card_7","zip_card_14","zip_card_30","zip_merchant_1","zip_merchant_3","zip_merchant_7","zip_merchant_14","zip_merchant_30"
"73550","No",113.67,3,14,19,44,78,1,1,1,2,2,3,12,17,30,44,1,1,1,1,1,0.644485183,0.244487666,0.274701765,0.206712703,0.199800881,0.214828394,0.017463405,0.014457988,0.004698016,0.00256155,0.758052684,0.862377665,0.758052684,0.623737928,0.524755903,0.428135593,0.0473625,0.0473625,0.045949366,0.045674632,113.67,1,1,0.369490313,0.369490313,1,1,1,0.184745157,0.184745157,1,1,1,0.369490313,0.369490313,1,1,1,0.226610315,0.226610315,3,12,16,28,38,1,1,1,1,1
"42957","No",1752,5,7,9,9,15,13,13,21,31,61,4,5,6,6,10,9,9,16,22,34,2.715580176,3.440700933,3.858407599,3.858407599,3.635860542,0.543116035,0.491528705,0.428711955,0.428711955,0.242390703,4.087346025,4.693276185,4.693276185,4.693276185,4.416435594,1,1,1,1,1,520.1030769,3.368563036,4.54324866,4.46771126,4.527994916,0.259120234,0.259120234,0.216345174,0.144119718,0.074229425,8.241990874,8.241990874,12.99510458,9.960204662,6.654006836,1,1,1,1,1,3,4,5,5,9,1,1,1,1,1
"81865","No",129.85,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,0.134927315,1,1,1,1,0.044975772,1,1,1,1,0.422606262,1,1,1,1,0.053,129.85,1,1,1,1.623632385,1,1,1,1,0.811816193,1,1,1,1,1.623632385,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"35712","No",425,4,4,16,22,25,1,1,1,1,1,3,3,15,17,20,1,1,1,1,1,2.664576803,2.664576803,1.864178172,1.468057579,1.245116215,0.666144201,0.666144201,0.116511136,0.06672989,0.049804649,4.941860465,4.941860465,3.497942387,3.057553957,2.75974026,1,1,0.379464286,0.379464286,0.379464286,425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,14,16,18,1,1,1,1,1
"26355","No",274.5,3,3,4,7,17,1,2,2,3,6,3,3,4,7,12,1,2,2,3,3,0.463309385,0.463309385,0.602452608,0.526726974,0.942776792,0.154436462,0.154436462,0.150613152,0.075246711,0.055457458,1,1,1.454574358,1.563657078,2.666860973,0.196071429,0.196071429,0.196071429,0.181788079,0.181788079,274.5,1.273841014,1.273841014,1.335809759,2.078128549,1,0.636920507,0.636920507,0.44526992,0.346354758,1,1.273841014,1.273841014,1.479784367,2.46830321,1,1,1,1,1,3,3,4,7,12,1,1,1,1,1
"14704","No",3.5,3,4,8,16,22,78,148,210,299,304,1,2,2,7,11,22,33,45,49,50,0.075949367,0.087390762,0.160118946,0.032394285,0.03363356,0.025316456,0.02184769,0.020014868,0.002024643,0.001528798,0.222222222,0.185676393,0.912646675,0.351405622,0.185676393,0.029411765,0.029411765,0.029411765,0.002797762,0.002797762,7.830128205,0.516147032,0.553789123,0.548951929,0.550445426,0.005730659,0.00348748,0.002637091,0.00183596,0.001810676,0.953678474,0.960219479,0.960219479,0.953678474,0.953678474,0.029411765,0.029411765,0.029411765,0.029411765,0.029411765,1,2,2,6,9,1,1,1,1,1
"83464","No",12.89,2,10,14,22,31,3,4,8,10,16,2,8,11,16,23,2,3,4,6,12,0.02570571,0.038626005,0.03897902,0.0330032,0.034738196,0.012852855,0.0038626,0.002784216,0.001500145,0.001120587,0.02570571,0.042966667,0.043694915,0.042966667,0.047740741,0.013020202,0.013020202,0.013020202,0.006734587,0.00664433,53.63,0.261169081,0.268793661,0.091726798,0.068407366,0.08011685,0.06529227,0.033599208,0.00917268,0.00427546,0.274255319,0.308631629,0.287146358,0.287146358,0.274255319,0.127623762,0.127623762,0.127623762,0.012890258,0.012890258,2,7,10,15,20,1,1,1,1,1
"80884","No",848,3,3,3,4,7,6,7,12,38,59,1,1,1,2,3,3,4,9,19,27,1.699398798,1.699398798,1.699398798,1.069889794,1.257190298,0.566466266,0.566466266,0.566466266,0.267472448,0.179598614,1.843478261,1.843478261,1.843478261,1.296636086,1.843478261,1,1,1,0.506746663,0.506746663,347.6166667,2.655037459,3.009653606,1.729085598,1.720805262,0.406578127,0.379291066,0.250804467,0.045502253,0.029166191,3.206655322,3.703056769,4.057416268,2.378648266,2.827609203,1,1,1,0.424,0.396002615,1,1,1,2,2,1,1,1,1,1
"67126","No",31.2,1,1,1,1,2,3,3,4,5,9,1,1,1,1,1,3,3,4,5,6,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,43.17666667,0.722612522,0.553756046,0.443156639,0.552668871,0.240870841,0.240870841,0.138439011,0.088631328,0.061407652,1,1,0.630621526,0.460516605,1,0.460516605,0.460516605,0.325542571,0.246348204,0.246348204,1,1,1,1,1,1,1,1,1,1
"31767","No",49.95,1,1,3,8,16,3,3,3,4,6,1,1,3,7,12,2,2,2,2,2,1,1,0.149308012,0.074950343,0.099670136,1,1,0.049769337,0.009368793,0.006229383,1,1,0.376469702,0.136348747,0.353428147,1,1,0.060840438,0.020847245,0.020847245,49.95,1,1,0.858247423,0.849730649,0.333333333,0.333333333,0.333333333,0.214561856,0.141621775,1,1,1,1,0.909008189,1,1,1,0.602169982,0.602169982,1,1,3,8,13,1,1,1,1,1
"46133","No",524,7,13,17,28,55,1,2,2,2,2,7,13,17,25,39,1,2,2,2,2,1.680772385,1.555208533,1.677178845,1.193003626,1.251091232,0.240110341,0.119631426,0.098657579,0.042607272,0.022747113,2.575065114,2.130081301,2.474265747,2.171570659,2.214708369,0.751146789,0.534792105,0.534792105,0.121156069,0.121156069,524,1.300248139,1.300248139,1.300248139,1.300248139,1,0.650124069,0.650124069,0.650124069,0.650124069,1,1.300248139,1.300248139,1.300248139,1.300248139,1,1,1,1,1,7,13,17,23,38,1,1,1,1,1
"36431","No",162.15,4,9,10,11,21,5,5,5,24,40,4,7,7,7,14,5,5,5,19,25,2.312876654,2.336380519,2.543449617,2.178530425,1.396033881,0.578219163,0.259597835,0.254344962,0.19804822,0.066477804,3.447799277,4.351851852,5.274886142,4.351851852,3.243,1,0.598096714,0.598096714,0.598096714,0.385017215,229.418,0.706788482,0.706788482,0.47181146,0.31948268,0.141357696,0.141357696,0.141357696,0.019658811,0.007987067,0.916153455,0.916153455,0.916153455,0.694239291,0.779511093,0.307708365,0.307708365,0.307708365,0.074551724,0.019251569,3,3,3,3,7,1,1,1,1,1
"34992","No",96.84,5,8,10,19,29,13,41,65,126,299,3,6,7,12,17,10,31,50,92,190,1.378505338,0.509986176,0.531670171,0.457247657,0.431415562,0.275701068,0.063748272,0.053167017,0.024065666,0.014876399,1.903301887,0.86972922,0.715082149,0.769487485,0.769487485,0.769487485,0.160278054,0.160278054,0.098374644,0.092646806,277.9030769,0.258617287,0.186833612,0.199910709,0.200060125,0.02680514,0.006307739,0.002874363,0.001586593,0.000669097,0.4842,0.4842,0.348345324,0.38736,0.345450005,0.113078001,0.056797654,0.039627621,0.039627621,0.019368,4,7,8,10,11,8,22,38,65,117
"73604","No",200,1,1,1,1,2,1,1,2,3,7,1,1,1,1,1,1,1,2,3,6,1,1,1,1,0.203655618,1,1,1,1,0.101827809,1,1,1,1,0.203655618,1,1,1,1,0.113372258,200,1,0.259963085,0.177047033,0.175977998,1,1,0.129981543,0.059015678,0.025139714,1,1,0.259963085,0.149400902,0.149400902,1,1,0.149400902,0.108093501,0.108093501,1,1,1,1,1,1,1,1,1,1
"43404","No",232.57,1,3,3,3,3,2,2,2,5,12,1,3,3,3,3,2,2,2,5,10,1,0.262363076,0.262363076,0.262363076,0.262363076,1,0.087454359,0.087454359,0.087454359,0.087454359,1,1,1,1,1,1,0.097924211,0.097924211,0.097924211,0.097924211,137.895,1.686573117,1.686573117,0.918131287,0.992175196,0.843286559,0.843286559,0.843286559,0.183626257,0.082681266,1.686573117,1.686573117,1.686573117,1,0.984402447,1,1,1,0.494598273,0.379050134,1,3,3,3,3,1,1,1,1,1
"81089","No",68.96,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1.468171173,1,1,1,1,0.489390391,1,1,1,1,1.253818182,1,1,1,1,1,68.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1
"4485","No",800,1,2,2,4,6,1,1,1,1,1,1,2,2,4,6,1,1,1,1,1,1,1.858088491,1.858088491,2.876404494,2.307304059,1,0.929044246,0.929044246,0.719101124,0.384550677,1,1.858088491,1.858088491,6.364359586,2.905129369,1,1,1,1,1,800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,6,1,1,1,1,1
"9407","No",1201,1,2,4,6,11,1,1,1,1,4,1,2,4,6,10,1,1,1,1,4,1,1.613976146,1.580439918,2.24152197,2.282291724,1,0.806988073,0.395109979,0.373586995,0.207481066,1,1.613976146,1.613976146,5.649239164,8.706684066,1,1,0.792681719,0.792681719,0.722949586,1201,1,1,1,1.894306827,1,1,1,1,0.473576707,1,1,1,1,1.805200661,1,1,1,1,1,1,2,4,6,10,1,1,1,1,1
"48411","No",250,5,9,14,20,39,1,1,1,1,1,5,9,11,15,27,1,1,1,1,1,0.366757133,0.505106061,0.615038572,0.533675455,0.77334245,0.073351427,0.056122896,0.043931327,0.026683773,0.019829294,0.653594771,0.889679715,0.844309355,0.797054088,1.121629503,0.148249177,0.148249177,0.148249177,0.148249177,0.148249177,250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,10,14,24,1,1,1,1,1
"40618","No",907.5,1,1,2,6,8,1,1,1,1,1,1,1,2,6,7,1,1,1,1,1,1,1,1.145761,1.761406278,1.53526348,1,1,0.5728805,0.293567713,0.191907935,1,1,1.145761,1.871905941,1.42621405,1,1,1,1,0.871297585,907.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,1,1,1,1,1
"5452","No",24.22,2,2,8,9,14,1,2,2,17,28,2,2,5,5,6,1,2,2,10,13,1.732474964,1.732474964,0.431037551,0.341709646,0.088342574,0.866237482,0.866237482,0.053879694,0.037967738,0.006310184,1.732474964,1.732474964,0.725910385,0.569748295,0.569748295,1,1,0.14038952,0.128563087,0.010000289,24.22,0.219662616,0.219662616,0.043390884,0.063236478,1,0.109831308,0.109831308,0.002552405,0.002258446,1,0.219662616,0.219662616,0.127112417,0.215777986,1,0.123382578,0.123382578,0.010219409,0.010219409,2,2,4,4,5,1,1,1,1,1
"18140","No",105,2,4,12,21,44,1,1,1,3,4,2,4,9,13,24,1,1,1,2,2,1.078582435,0.501744158,0.914879868,0.372921029,0.338403526,0.539291217,0.12543604,0.076239989,0.017758144,0.007690989,1.078582435,0.869709269,1.122394441,1,0.725037978,1,0.207542694,0.207542694,0.050016672,0.050016672,105,1,1,0.377924415,0.345110929,1,1,1,0.125974805,0.086277732,1,1,1,0.538461538,0.363007779,1,1,1,0.196813496,0.196813496,2,4,8,12,22,1,1,1,1,1
"30636","No",74.72,1,1,1,1,2,1,1,2,4,8,1,1,1,1,2,1,1,2,3,4,1,1,1,1,1.033757609,1,1,1,1,0.516878805,1,1,1,1,1.033757609,1,1,1,1,1,74.72,1,0.986207352,0.890849478,0.682187529,1,1,0.493103676,0.22271237,0.085273441,1,1,0.986207352,0.986207352,0.863316002,1,1,0.972790001,0.439348504,0.333988915,1,1,1,1,2,1,1,1,1,1
"43092","No",641.49,2,3,5,10,15,1,3,5,8,20,2,3,5,8,12,1,3,4,6,16,0.797560657,1.015363917,0.882702612,0.796217319,0.711815997,0.398780329,0.338454639,0.176540522,0.079621732,0.0474544,0.797560657,1,0.754694118,0.792002074,0.833190461,0.663285564,0.663285564,0.663285564,0.257471403,0.257471403,641.49,2.280285796,2.919234025,2.522088274,1.940143449,1,0.760095265,0.583846805,0.315261034,0.097007172,1,3.780364194,3.780364194,3.078314698,3.338746194,1,1,1,1,0.351212702,2,3,5,7,10,1,1,1,1,1
"63303","No",334.52,1,1,2,2,3,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1.821210801,1.821210801,1.680048214,1,1,0.910605401,0.910605401,0.560016071,1,1,1.821210801,1.821210801,1.454561266,1,1,1,1,1,334.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1
"58446","No",180.46,2,2,2,2,4,1,1,1,1,1,2,2,2,2,4,1,1,1,1,1,0.319409537,0.319409537,0.319409537,0.319409537,0.188501965,0.159704768,0.159704768,0.159704768,0.159704768,0.047125491,0.319409537,0.319409537,0.319409537,0.319409537,0.242408774,0.190057925,0.190057925,0.190057925,0.190057925,0.083546296,180.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,1,1,1,1,1
"74270","No",2213.5,1,1,3,3,8,1,1,1,2,2,1,1,3,3,7,1,1,1,2,2,1,1,1.427950894,1.427950894,2.782819687,1,1,0.475983631,0.475983631,0.347852461,1,1,1,1,5.702839182,1,1,0.935940803,0.935940803,0.935940803,2213.5,1,1,0.98037913,0.98037913,1,1,1,0.490189565,0.490189565,1,1,1,0.98037913,0.98037913,1,1,1,0.961513401,0.961513401,1,1,3,3,7,1,1,1,1,1
"55975","No",240.34,1,2,3,5,14,1,1,1,1,1,1,2,3,5,12,1,1,1,1,1,1,1.778386178,2.447869632,2.511967223,1.392491185,1,0.889193089,0.815956544,0.502393445,0.099463656,1,1.778386178,8.024707846,4.463138347,3.850368472,1,1,1,1,0.299701969,240.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,10,1,1,1,1,1
"20104","No",749.9,3,3,5,5,5,1,1,2,2,3,2,2,2,2,2,1,1,2,2,3,0.882269893,0.882269893,0.555489711,0.555489711,0.555489711,0.294089964,0.294089964,0.111097942,0.111097942,0.111097942,0.882235294,0.882235294,0.789368421,0.789368421,0.789368421,0.789368421,0.789368421,0.326043478,0.326043478,0.326043478,749.9,1,1.394708699,1.394708699,1.703866399,1,1,0.69735435,0.69735435,0.567955466,1,1,1.394708699,1.394708699,2.304194193,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1
"13426","No",993.19,2,3,3,4,7,1,1,1,1,1,2,2,2,2,5,1,1,1,1,1,1.961140127,2.497858071,2.497858071,2.281779126,2.341104092,0.980570063,0.832619357,0.832619357,0.570444781,0.334443442,1.961140127,5.518335371,5.518335371,2.727757103,1.811630155,1,1,1,1,1,993.19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,1,1,1,1,1
"59274","No",87.95,1,1,2,2,2,2,2,3,5,6,1,1,2,2,2,2,2,3,5,6,1,1,0.528434524,0.528434524,0.528434524,1,1,0.264217262,0.264217262,0.264217262,1,1,0.528434524,0.528434524,0.528434524,1,1,0.359096848,0.359096848,0.359096848,87.95,1,0.92954025,0.285246327,0.319895732,0.5,0.5,0.30984675,0.057049265,0.053315955,1,1,1,0.814729041,0.814729041,1,1,0.814729041,0.083773872,0.083773872,1,1,2,2,2,1,1,1,1,1
"57975","No",40,1,1,2,4,7,1,2,3,5,5,1,1,2,3,5,1,2,3,5,5,1,1,0.540906018,0.87479497,0.102778695,1,1,0.270453009,0.218698742,0.014682671,1,1,0.540906018,1.333333333,0.62992126,1,1,0.370713624,0.370713624,0.026490066,40,1.649484536,0.892193309,0.731261426,0.731261426,1,0.824742268,0.29739777,0.146252285,0.146252285,1,1.649484536,1,1,1,1,1,0.465116279,0.327868852,0.327868852,1,1,2,3,5,1,1,1,1,1
"41577","No",23.27,6,8,10,16,33,83,182,306,600,1436,1,1,1,1,2,28,46,59,81,102,1.097727809,0.842391058,0.95631447,1.125752124,1.955362599,0.182954635,0.105298882,0.095631447,0.070359508,0.059253412,1.155412115,1.155412115,1.211979167,1.211979167,6.340599455,0.91254902,0.258555556,0.258555556,0.258555556,0.258555556,10.40566265,2.185247103,2.266724391,2.780178336,2.19651825,0.026943161,0.012006852,0.007407596,0.004633631,0.001529609,5.324942792,6.123684211,6.221925134,6.340599455,6.340599455,0.544327485,0.16777217,0.089776235,0.089776235,0.019324033,1,1,1,1,1,1,1,1,1,1
"5572","No",3.62,39,61,115,181,266,96,173,251,463,657,1,1,2,5,5,18,29,32,50,60,0.56388545,0.663402031,0.543110984,0.373393664,0.457144485,0.014458601,0.010875443,0.004722704,0.002062948,0.001718588,0.495890411,0.828375286,0.952631579,0.94025974,0.952631579,0.418013857,0.418013857,0.020111111,0.00551409,0.00551409,7.1484375,0.359120806,0.407325055,0.469891306,0.528552888,0.005275046,0.002075843,0.001622809,0.001014884,0.000804495,0.952631579,0.94025974,0.952631579,0.952631579,0.952631579,0.092796719,0.008080357,0.008080357,0.008080357,0.008080357,1,1,2,4,4,1,1,1,1,1
"51123","No",94.95,1,2,3,7,9,1,1,1,1,1,1,2,3,5,5,1,1,1,1,1,1,0.521774969,0.558266698,0.202035401,0.24655151,1,0.260887485,0.186088899,0.0288622,0.027394612,1,0.521774969,0.64905325,0.352973978,0.584415584,1,0.352973978,0.352973978,0.054658807,0.054658807,94.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,1,1,1,1,1
"20962","No",234,1,1,1,1,1,16,35,57,138,318,1,1,1,1,1,12,29,47,102,184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,331.723125,0.688597531,0.611902789,0.547910248,0.568457485,0.044087972,0.019674215,0.010735137,0.003970364,0.001787602,0.837209302,0.986925348,1.175879397,1.100917431,1.017501902,0.250707123,0.134109718,0.095880813,0.095880813,0.063977427,1,1,1,1,1,10,23,39,65,112
